dateAddedToCatalog,pubmedId,firstAuthor,publicationDate,publicationJournal,publicationLink,publicationName,phenotype,initialSampleSize,replicationSampleSize,platform,associationCount,mappedTrait,mappedTraitURI,studyAccession,genotypingTechnology,submissionDate,statisticalModel,backgroundTrait,mappedBackgroundTrait,mappedBackgroundTraitURI,cohort,fullSummaryStatistics,summaryStatisticsLocation,gxe
2017-01-27,27386562,Andlauer TF,2016-06-17,Sci Adv,www.ncbi.nlm.nih.gov/pubmed/27386562,Novel multiple sclerosis susceptibility loci implicated in epigenetic regulation.,Multiple sclerosis,"4,888 German ancestry cases, 10,395 German ancestry controls","2,903 Sardinian ancestry cases, 3,323 Sardinian ancestry controls",Illumina [at least 8143088] (imputed),16,multiple sclerosis,http://purl.obolibrary.org/obo/MONDO_0005301,GCST003566,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003566,false
2016-11-29,26806518,Hou L,2016-01-22,Lancet,www.ncbi.nlm.nih.gov/pubmed/26806518,Genetic variants associated with response to lithium treatment in bipolar disorder: a genome-wide association study.,Response to lithium treatment in bipolar disorder (dichotomous phenotype),"659 European ancestry responders, 44 East Asian ancestry responders, 1,684 European ancestry non-responders, 176 East Asian ancestry non-responders",NA,"Affymetrix, Illumina [> 6000000] (imputed)",1,response to lithium ion,http://purl.obolibrary.org/obo/GO_0010226,GCST003378,Genome-wide genotyping array,,,,bipolar disorder,http://purl.obolibrary.org/obo/MONDO_0004985,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003378,false
2021-10-15,26806518,Hou L,2016-01-22,Lancet,www.ncbi.nlm.nih.gov/pubmed/26806518,Genetic variants associated with response to lithium treatment in bipolar disorder: a genome-wide association study.,Response to lithium treatment in bipolar disorder (continuous phenotype),"2,039 European ancestry individuals",NA,"Affymetrix, Illumina [> 6000000] (imputed)",4,response to lithium ion,http://purl.obolibrary.org/obo/GO_0010226,GCST012487,Genome-wide genotyping array,,,,bipolar disorder,http://purl.obolibrary.org/obo/MONDO_0004985,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST012001-GCST013000/GCST012487,false
2021-10-15,26806518,Hou L,2016-01-22,Lancet,www.ncbi.nlm.nih.gov/pubmed/26806518,Genetic variants associated with response to lithium treatment in bipolar disorder: a genome-wide association study.,Response to lithium treatment in bipolar disorder (dichotomous phenotype),"659 European ancestry responders, 1,684 European ancestry non-responders",NA,"Affymetrix, Illumina [> 6000000] (imputed)",3,response to lithium ion,http://purl.obolibrary.org/obo/GO_0010226,GCST012486,Genome-wide genotyping array,,,,bipolar disorder,http://purl.obolibrary.org/obo/MONDO_0004985,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST012001-GCST013000/GCST012486,false
2021-05-27,26806518,Hou L,2016-01-22,Lancet,www.ncbi.nlm.nih.gov/pubmed/26806518,Genetic variants associated with response to lithium treatment in bipolar disorder: a genome-wide association study.,Response to lithium treatment in bipolar disorder (continuous phenotype),"2,039 European ancestry individuals, 194 East Asian ancestry individuals",NA,"Affymetrix, Illumina [> 6000000] (imputed)",2,response to lithium ion,http://purl.obolibrary.org/obo/GO_0010226,GCST011750,Genome-wide genotyping array,,,,bipolar disorder,http://purl.obolibrary.org/obo/MONDO_0004985,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011750,false
2017-03-22,27798627,Barban N,2016-10-31,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/27798627,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Age at first birth,"189,656 European ancestry women, 48,408 European ancestry men",,Illumina [2400000] (imputed),10,age at first birth measurement,http://www.ebi.ac.uk/efo/EFO_0009101,GCST003795,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003795,false
2018-08-07,27798627,Barban N,2016-10-31,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/27798627,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Number of children ever born,"103,909 European ancestry men",,NR [2400000] (imputed),2,number of children ever born measurement,http://www.ebi.ac.uk/efo/EFO_0009102,GCST006046,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006046,false
2018-08-07,27798627,Barban N,2016-10-31,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/27798627,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Number of children ever born,"225,230 European ancestry women",,NR [2400000] (imputed),1,number of children ever born measurement,http://www.ebi.ac.uk/efo/EFO_0009102,GCST006047,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006047,false
2018-08-06,27798627,Barban N,2016-10-31,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/27798627,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Age at first birth,"48,408 European ancestry men",,Illumina [2400000] (imputed),2,age at first birth measurement,http://www.ebi.ac.uk/efo/EFO_0009101,GCST006044,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006044,false
2018-08-06,27798627,Barban N,2016-10-31,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/27798627,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Age at first birth,"189,656 European ancestry women",,Illumina [2400000] (imputed),10,age at first birth measurement,http://www.ebi.ac.uk/efo/EFO_0009101,GCST006045,Genome-wide genotyping array,,,,,,,true,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006045,false
