dateAddedToCatalog,pubmedId,firstAuthor,publicationDate,publicationJournal,publicationLink,publicationName,phenotype,initialSampleSize,replicationSampleSize,platform,associationCount,mappedTrait,mappedTraitURI,studyAccession,genotypingTechnology,submissionDate,statisticalModel,backgroundTrait,mappedBackgroundTrait,mappedBackgroundTraitURI,cohort,fullSummaryStatistics,summaryStatisticsLocation,gxe
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of organochlorine pesticides,"329 Hispanic mothers, 273 European ancestry mothers, 122 Asian ancestry mothers, 23 South Asian ancestry mothers, 21 African American mothers, 22 other ancestry mothers",,Affymetrix [629686],2,"gestational serum measurement, organochlorine pesticide measurement","http://www.ebi.ac.uk/efo/EFO_0007964, http://www.ebi.ac.uk/efo/EFO_0007960",GCST004281,Genome-wide genotyping array,,,,,,,False,,False
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of PCBs (fetal genetic effect),764 fetuses,,Affymetrix [622716],11,"polychlorinated biphenyls measurement, gestational serum measurement, fetal genotype effect measurement","http://www.ebi.ac.uk/efo/EFO_0007042, http://www.ebi.ac.uk/efo/EFO_0007964, http://www.ebi.ac.uk/efo/EFO_0007959",GCST004284,Genome-wide genotyping array,,,,,,,False,,False
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of PBDEs,"329 Hispanic mothers, 273 European ancestry mothers, 122 Asian ancestry mothers, 23 South Asian ancestry mothers, 21 African American mothers, 22 other ancestry mothers",,Affymetrix [629686],9,"polybrominated biphenyl measurement, gestational serum measurement, polybrominated diphenyl ether measurement","http://www.ebi.ac.uk/efo/EFO_0007961, http://www.ebi.ac.uk/efo/EFO_0007964, http://www.ebi.ac.uk/efo/EFO_0007962",GCST004285,Genome-wide genotyping array,,,,,,,False,,False
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of PBDEs (fetal genetic effect),764 fetuses,,Affymetrix [629686],11,"polybrominated biphenyl measurement, gestational serum measurement, fetal genotype effect measurement, polybrominated diphenyl ether measurement","http://www.ebi.ac.uk/efo/EFO_0007961, http://www.ebi.ac.uk/efo/EFO_0007964, http://www.ebi.ac.uk/efo/EFO_0007959, http://www.ebi.ac.uk/efo/EFO_0007962",GCST004286,Genome-wide genotyping array,,,,,,,False,,False
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of organochlorine pesticides (fetal genetic effect),764 fetuses,,Affymetrix [629686],0,"gestational serum measurement, fetal genotype effect measurement, organochlorine pesticide measurement","http://www.ebi.ac.uk/efo/EFO_0007964, http://www.ebi.ac.uk/efo/EFO_0007959, http://www.ebi.ac.uk/efo/EFO_0007960",GCST004282,Genome-wide genotyping array,,,,,,,False,,False
2017-07-03,28235828,Traglia M,2017-04-03,G3 (Bethesda),www.ncbi.nlm.nih.gov/pubmed/28235828,Independent Maternal and Fetal Genetic Effects on Midgestational Circulating Levels of Environmental Pollutants.,Midgestational circulating levels of PCBs,"329 Hispanic mothers, 273 European ancestry mothers, 122 Asian ancestry mothers, 23 South Asian ancestry mothers, 21 African American mothers, 22 other ancestry mothers",,Affymetrix [629686],25,"polychlorinated biphenyls measurement, gestational serum measurement","http://www.ebi.ac.uk/efo/EFO_0007042, http://www.ebi.ac.uk/efo/EFO_0007964",GCST004283,Genome-wide genotyping array,,,,,,,False,,False
2017-05-26,28223688,Bjornsdottir G,2017-02-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/28223688,Sequence variant at 8q24.21 associates with sciatica caused by lumbar disc herniation.,Sciatica caused by lumbar disc herniation (treated with microdiscectomy),"3,097 Icelandic ancestry cases, 1,651 non-array typed, familial imputed Icelandic ancestry cases, 132,966 Icelandic ancestry controls, 149,624 non-array typed, familial imputed Icelandic ancestry controls",NR,Illumina [21568490] (imputed),1,"lumbar disc herniation, Sciatica, LDH-related sciatica symptom severity measurement","http://www.ebi.ac.uk/efo/EFO_1002005, http://purl.obolibrary.org/obo/HP_0011868, http://www.ebi.ac.uk/efo/EFO_0007941",GCST004098,Genome-wide genotyping array,,,,,,,False,,False
2016-12-12,27001270,Vishal M,2016-03-22,BMC Med Genomics,www.ncbi.nlm.nih.gov/pubmed/27001270,Genetic association and stress mediated down-regulation in trabecular meshwork implicates MPP7 as a novel candidate gene in primary open angle glaucoma.,Glaucoma (primary open-angle),"347 Indian ancestry cases, 354 Indian ancestry controls","319 Indian ancestry cases, 297 Indian ancestry controls",Illumina [521873],5,open-angle glaucoma,http://www.ebi.ac.uk/efo/EFO_0004190,GCST003446,Genome-wide genotyping array,,,,,,,False,,False
2017-02-02,26599303,Cheung CL,2016-01-12,Clin Pharmacol Ther,www.ncbi.nlm.nih.gov/pubmed/26599303,HLA-B*38:02:01 predicts carbimazole/methimazole-induced agranulocytosis.,Antithyroid drug-induced agranulocytosis,"20 Southern Chinese ancestry cases, 775 East Asian ancestry controls","4 Southern Chinese ancestry cases, 387 East Asian ancestry controls",Illumina [5339940] (imputed),1,"response to thioamide, Drug-induced agranulocytosis","http://www.ebi.ac.uk/efo/EFO_0007633, http://purl.obolibrary.org/obo/HP_0012235",GCST003580,Genome-wide genotyping array,,,,,,,False,,False
2017-05-23,28247064,Deming Y,2017-02-28,Acta Neuropathol,www.ncbi.nlm.nih.gov/pubmed/28247064,Genome-wide association study identifies four novel loci associated with Alzheimer's endophenotypes and disease modifiers.,Cerebrospinal fluid AB1-42 levels,"3,146 individuals",,Illumina [7358575] (imputed),16,beta-amyloid 1-42 measurement,http://www.ebi.ac.uk/efo/EFO_0004670,GCST004069,Genome-wide genotyping array,,,,,,,False,,False
